Model,Accuracy,Precision,Recall,F1-Score,Recall_<30,Balance_Method
RandomForest,0.3311879728800236,0.4299251479016279,0.3311879728800236,0.35932280701887714,0.33647489098326067,undersample
XGBoost,0.33885231404146604,0.4300272382608916,0.33885231404146604,0.3652310499267061,0.3481502321001547,undersample
LightGBM,0.33438144836395794,0.42830985286878553,0.33438144836395794,0.3604237796791837,0.35616823744549164,undersample
LogisticRegression,0.33256362385771837,0.419396866600349,0.33256362385771837,0.35911396300625026,0.3446335630890421,undersample
SVM,0.3333988405227474,0.42894566713002386,0.3333988405227474,0.36043487452313516,0.36953157968771977,undersample
MLP,0.34052274737152405,0.4206456167190767,0.34052274737152405,0.3653029588378593,0.3421015614010409,undersample
